"LBXVTHF.Code.or.Value","LBXVTHF.Value.Description","LBXVTHF.Count","LBXVTHF.Cumulative","LBXVTHF.Skip.to.Item"
"0.0884 to 41.1","Range of Values",3077,3077,NA
".","Missing",412,3489,NA
