"SMQ080.Code.or.Value","SMQ080.Value.Description","SMQ080.Count","SMQ080.Cumulative","SMQ080.Skip.to.Item"
"0 to 30","Range of Values",62,62,NA
"7777","Refused",0,62,NA
"9999","Don't know",0,62,NA
".","Missing",6939,7001,NA
