"DR2ISFAT.Code.or.Value","DR2ISFAT.Value.Description","DR2ISFAT.Count","DR2ISFAT.Cumulative","DR2ISFAT.Skip.to.Item"
"0 to 103.908","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
