"DIQ060U.Code.or.Value","DIQ060U.Value.Description","DIQ060U.Count","DIQ060U.Cumulative","DIQ060U.Skip.to.Item"
"1","Months",36,36,NA
"2","Years",209,245,NA
".","Missing",8652,8897,NA
