"DXXPT91Y.Code.or.Value","DXXPT91Y.Value.Description","DXXPT91Y.Count","DXXPT91Y.Cumulative","DXXPT91Y.Skip.to.Item"
"112.1 to 364.3","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
