"DSQIPROT.Code.or.Value","DSQIPROT.Value.Description","DSQIPROT.Count","DSQIPROT.Cumulative","DSQIPROT.Skip.to.Item"
"0.002 to 60","Range of Values",214,214,NA
".","Missing",9770,9984,NA
