"LBXVEB.Code.or.Value","LBXVEB.Value.Description","LBXVEB.Count","LBXVEB.Cumulative","LBXVEB.Skip.to.Item"
"0.017 to 8.22","Range of Values",3061,3061,NA
".","Missing",386,3447,NA
