"BAXFTC32.Code.or.Value","BAXFTC32.Value.Description","BAXFTC32.Count","BAXFTC32.Cumulative","BAXFTC32.Skip.to.Item"
"0 to 24","Range of Values",26,26,NA
".","Missing",3158,3184,NA
