"DR2ILZ.Code.or.Value","DR2ILZ.Value.Description","DR2ILZ.Count","DR2ILZ.Cumulative","DR2ILZ.Skip.to.Item"
"0 to 48004","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
