"AUQ260.Code.or.Value","AUQ260.Value.Description","AUQ260.Count","AUQ260.Cumulative","AUQ260.Skip.to.Item"
"1","Yes",137,137,NA
"2","No",537,674,NA
"7","Refused",0,674,NA
"9","Don't know",9,683,NA
".","Missing",8892,9575,NA
