"AGQ130.Code.or.Value","AGQ130.Value.Description","AGQ130.Count","AGQ130.Cumulative","AGQ130.Skip.to.Item"
"1","Yes",877,877,""
"2","No",8940,9817,"AGQ180"
"7","Refused",0,9817,"AGQ180"
"9","Don't know",5,9822,"AGQ180"
".","Missing",0,9822,""
