"URXNO3.Code.or.Value","URXNO3.Value.Description","URXNO3.Count","URXNO3.Cumulative","URXNO3.Skip.to.Item"
"495 to 1330000","Range of Values",3015,3015,NA
".","Missing",264,3279,NA
