"SSQ041.Code.or.Value","SSQ041.Value.Description","SSQ041.Count","SSQ041.Cumulative","SSQ041.Skip.to.Item"
"1","A lot more emotional support",159,159,NA
"2","Some emotional support",201,360,NA
"3","A little more emotional support",235,595,NA
"7","Refused",0,595,NA
"9","Don't know",1,596,NA
".","Missing",2460,3056,NA
