"BAXPFC32.Code.or.Value","BAXPFC32.Value.Description","BAXPFC32.Count","BAXPFC32.Cumulative","BAXPFC32.Skip.to.Item"
"1","Pass",36,36,"BAXPFC41"
"2","Dnp(did not pass)",47,83,""
".","Missing",3003,3086,""
