"DR2TPOTA.Code.or.Value","DR2TPOTA.Value.Description","DR2TPOTA.Count","DR2TPOTA.Cumulative","DR2TPOTA.Skip.to.Item"
"0 to 11965","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
