"MCQ160L.Code.or.Value","MCQ160L.Value.Description","MCQ160L.Count","MCQ160L.Cumulative","MCQ160L.Skip.to.Item"
"1","Yes",170,170,"MCQ170L"
"2","No",4861,5031,""
"7","Refused",0,5031,""
"9","Don't know",9,5040,""
".","Missing",4605,9645,""
