"CVDPROT.Code.or.Value","CVDPROT.Value.Description","CVDPROT.Count","CVDPROT.Cumulative","CVDPROT.Skip.to.Item"
"1 to 8","Range of Values",3453,3453,NA
".","Missing",1699,5152,NA
