"OHQ148.Code.or.Value","OHQ148.Value.Description","OHQ148.Count","OHQ148.Cumulative","OHQ148.Skip.to.Item"
"1","Yes",159,159,NA
"2","No",5588,5747,NA
"7","Refused",0,5747,NA
"9","Don't know",0,5747,NA
".","Missing",2840,8587,NA
