"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1190,1190,NA
"1","Below lower detection limit",1331,2521,NA
".","Missing",84,2605,NA
