"DXXPT53Y.Code.or.Value","DXXPT53Y.Value.Description","DXXPT53Y.Count","DXXPT53Y.Cumulative","DXXPT53Y.Skip.to.Item"
"45.1 to 284.1","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
