"RFXT064.Code.or.Value","RFXT064.Value.Description","RFXT064.Count","RFXT064.Cumulative","RFXT064.Skip.to.Item"
"548 to 557","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
