"DXDLLPF.Code.or.Value","DXDLLPF.Value.Description","DXDLLPF.Count","DXDLLPF.Cumulative","DXDLLPF.Skip.to.Item"
"11.1 to 62.7","Range of Values",5290,5290,NA
".","Missing",743,6033,NA
