"LBD028LC.Code.or.Value","LBD028LC.Value.Description","LBD028LC.Count","LBD028LC.Cumulative","LBD028LC.Skip.to.Item"
"0","At or above the detection limit",276,276,NA
"1","Below lower detection limit",4,280,NA
".","Missing",4,284,NA
