"LB2DAY.Code.or.Value","LB2DAY.Value.Description","LB2DAY.Count","LB2DAY.Cumulative","LB2DAY.Skip.to.Item"
"3 to 47","Range of Values",557,557,NA
".","Missing",0,557,NA
