"FSD032D.Code.or.Value","FSD032D.Value.Description","FSD032D.Count","FSD032D.Cumulative","FSD032D.Skip.to.Item"
"1","Often true",376,376,NA
"2","Sometimes true",1140,1516,NA
"3","Never true",5558,7074,NA
"7","Refused",6,7080,NA
"9","Don't know",0,7080,NA
".","Missing",3268,10348,NA
