"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",831,831,NA
"1","Below lower detection limit",1686,2517,NA
".","Missing",77,2594,NA
