"DR1TKCAL.Code.or.Value","DR1TKCAL.Value.Description","DR1TKCAL.Count","DR1TKCAL.Cumulative","DR1TKCAL.Skip.to.Item"
"55 to 10463","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
