"AUXRR239.Code.or.Value","AUXRR239.Value.Description","AUXRR239.Count","AUXRR239.Cumulative","AUXRR239.Skip.to.Item"
"-14 to 37","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
