"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"575.6 to 1153.7","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
