"BIXC177K.Code.or.Value","BIXC177K.Value.Description","BIXC177K.Count","BIXC177K.Cumulative","BIXC177K.Skip.to.Item"
"14.04 to 99.6","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
