"DS1ICALC.Code.or.Value","DS1ICALC.Value.Description","DS1ICALC.Count","DS1ICALC.Cumulative","DS1ICALC.Skip.to.Item"
"0.1 to 2700","Range of Values",1678,1678,NA
".","Missing",4280,5958,NA
