"AUDTYR80.Code.or.Value","AUDTYR80.Value.Description","AUDTYR80.Count","AUDTYR80.Cumulative","AUDTYR80.Skip.to.Item"
"0 to 1.09","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
