"RIDRETH1.Code.or.Value","RIDRETH1.Value.Description","RIDRETH1.Count","RIDRETH1.Cumulative","RIDRETH1.Skip.to.Item"
"1","Mexican American",3393,3393,NA
"2","Other Hispanic",589,3982,NA
"3","Non-Hispanic White",3367,7349,NA
"4","Non-Hispanic Black",2228,9577,NA
"5","Other Race - Including Multi-Racial",388,9965,NA
".","Missing",0,9965,NA
