"PAXMTSD.Code.or.Value","PAXMTSD.Value.Description","PAXMTSD.Count","PAXMTSD.Cumulative","PAXMTSD.Skip.to.Item"
"0 to 50683.232","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
