"WTFSM.Code.or.Value","WTFSM.Value.Description","WTFSM.Count","WTFSM.Cumulative","WTFSM.Skip.to.Item"
"0 to 456840.9815","Range of Values",2605,2605,NA
".","Missing",0,2605,NA
