"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"16425.326175 to 874638.01159","Range of Values",2143,2143,NA
"0","No Lab Result",27,2170,NA
".","Missing",0,2170,NA
