"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.17 to 0.253","Range of Values",3285,3285,NA
".","Missing",423,3708,NA
