"DXXTSA.Code.or.Value","DXXTSA.Value.Description","DXXTSA.Count","DXXTSA.Cumulative","DXXTSA.Skip.to.Item"
"44.46 to 231.54","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
