"AUDTYR59.Code.or.Value","AUDTYR59.Value.Description","AUDTYR59.Count","AUDTYR59.Cumulative","AUDTYR59.Skip.to.Item"
"0 to 1.5","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
