"SMQ800.Code.or.Value","SMQ800.Value.Description","SMQ800.Count","SMQ800.Cumulative","SMQ800.Skip.to.Item"
"1 to 5","Range of Values",49,49,NA
"7","Refused",0,49,NA
"9","Don't know",0,49,NA
".","Missing",7396,7445,NA
