"WTSCI28.Code.or.Value","WTSCI28.Value.Description","WTSCI28.Count","WTSCI28.Cumulative","WTSCI28.Skip.to.Item"
"0 to 468136.38942","Range of Values",727,727,NA
".","Missing",51,778,NA
