"DRD350H.Code.or.Value","DRD350H.Value.Description","DRD350H.Count","DRD350H.Cumulative","DRD350H.Skip.to.Item"
"1","Yes",3254,3254,""
"2","No",507,3761,"DRD350I"
".","Missing",6052,9813,""
