"HUQ030.Code.or.Value","HUQ030.Value.Description","HUQ030.Count","HUQ030.Cumulative","HUQ030.Skip.to.Item"
"1","Yes",8449,8449,""
"2","There is no place",1423,9872,"HUQ050"
"3","There is more than one place",87,9959,""
"7","Refused",0,9959,"HUQ050"
"9","Don't know",1,9960,"HUQ050"
".","Missing",5,9965,""
