"LBCTNA.Code.or.Value","LBCTNA.Value.Description","LBCTNA.Count","LBCTNA.Cumulative","LBCTNA.Skip.to.Item"
"3.536 to 586.4","Range of Values",284,284,NA
".","Missing",0,284,NA
