"WTSCI32.Code.or.Value","WTSCI32.Value.Description","WTSCI32.Count","WTSCI32.Cumulative","WTSCI32.Skip.to.Item"
"0 to 478074.72636","Range of Values",727,727,NA
".","Missing",51,778,NA
