"URDUMNLC.Code.or.Value","URDUMNLC.Value.Description","URDUMNLC.Count","URDUMNLC.Cumulative","URDUMNLC.Skip.to.Item"
"0","At or above the detection limit",694,694,NA
"1","Below lower detection limit",1679,2373,NA
".","Missing",89,2462,NA
