"AUDTYL64.Code.or.Value","AUDTYL64.Value.Description","AUDTYL64.Count","AUDTYL64.Cumulative","AUDTYL64.Skip.to.Item"
"0 to 2.38","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
