"LBXBPB.Code.or.Value","LBXBPB.Value.Description","LBXBPB.Count","LBXBPB.Cumulative","LBXBPB.Skip.to.Item"
"0.3 to 68.9","Range of Values",8349,8349,NA
"0.2","Below Limit of Detection",24,8373,NA
".","Missing",806,9179,NA
