"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"1","Regular (68-72 mm)",164,164,NA
"2","King (79-88 mm)",678,842,NA
"3","Long (94-101 mm)",396,1238,NA
"4","Ultra long (110-121 mm)",17,1255,NA
".","Missing",5890,7145,NA
