"LBDVCMLC.Code.or.Value","LBDVCMLC.Value.Description","LBDVCMLC.Count","LBDVCMLC.Cumulative","LBDVCMLC.Skip.to.Item"
"0","detectable result",627,627,NA
"1","below detectable limit",154,781,NA
"2","detectable result and exceeds the calibrated range of assay",0,781,NA
".","Missing",668,1449,NA
