"DRD370G.Code.or.Value","DRD370G.Value.Description","DRD370G.Count","DRD370G.Cumulative","DRD370G.Skip.to.Item"
"1","Yes",123,123,""
"2","No",5301,5424,"DRD370H"
".","Missing",4338,9762,""
