"BMXRECUM.Code.or.Value","BMXRECUM.Value.Description","BMXRECUM.Count","BMXRECUM.Cumulative","BMXRECUM.Skip.to.Item"
"45 to 114.8","Range of Values",1206,1206,NA
".","Missing",9047,10253,NA
