"SSNPFOA.Code.or.Value","SSNPFOA.Value.Description","SSNPFOA.Count","SSNPFOA.Cumulative","SSNPFOA.Skip.to.Item"
"0.07 to 85.2","Range of Values",1954,1954,NA
".","Missing",0,1954,NA
