"WTSPH15.Code.or.Value","WTSPH15.Value.Description","WTSPH15.Count","WTSPH15.Cumulative","WTSPH15.Skip.to.Item"
"0.0000000 to 800067.9192800","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
