"OSQ040ba.Code.or.Value","OSQ040ba.Value.Description","OSQ040ba.Count","OSQ040ba.Cumulative","OSQ040ba.Skip.to.Item"
"1","Under 50 years old, or",345,345,"OSQ025"
"2","50 years old or older?",100,445,""
"7","Refused",0,445,"OSQ025"
"9","Don't know",0,445,"OSQ025"
".","Missing",4596,5041,""
