"TYXA137.Code.or.Value","TYXA137.Value.Description","TYXA137.Count","TYXA137.Cumulative","TYXA137.Skip.to.Item"
"0.209 to 6.721","Range of Values",7531,7531,NA
".","Missing",938,8469,NA
