"DXXPT18Y.Code.or.Value","DXXPT18Y.Value.Description","DXXPT18Y.Count","DXXPT18Y.Cumulative","DXXPT18Y.Skip.to.Item"
"156.4 to 387.6","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
