"SSIMID.Code.or.Value","SSIMID.Value.Description","SSIMID.Count","SSIMID.Cumulative","SSIMID.Skip.to.Item"
"0.28 to 4.94","Range of Values",2405,2405,NA
".","Missing",33,2438,NA
