"DS1TCHOL.Code.or.Value","DS1TCHOL.Value.Description","DS1TCHOL.Count","DS1TCHOL.Cumulative","DS1TCHOL.Skip.to.Item"
"1 to 135","Range of Values",333,333,NA
".","Missing",9480,9813,NA
