"WBXA067.Code.or.Value","WBXA067.Value.Description","WBXA067.Count","WBXA067.Cumulative","WBXA067.Skip.to.Item"
"-0.3433 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
