"DS1IMFAT.Code.or.Value","DS1IMFAT.Value.Description","DS1IMFAT.Count","DS1IMFAT.Cumulative","DS1IMFAT.Skip.to.Item"
"0.025 to 2","Range of Values",75,75,NA
".","Missing",5883,5958,NA
