"MCD180n.Code.or.Value","MCD180n.Value.Description","MCD180n.Count","MCD180n.Cumulative","MCD180n.Skip.to.Item"
"17 to 79","Range of Values",320,320,NA
"16","16 years or younger",0,320,NA
"80","80 years or older",10,330,NA
"77777","Refused",0,330,NA
"99999","Don't know",8,338,NA
".","Missing",8559,8897,NA
