"LBDCLZSI.Code.or.Value","LBDCLZSI.Value.Description","LBDCLZSI.Count","LBDCLZSI.Cumulative","LBDCLZSI.Skip.to.Item"
"0.004 to 0.2862","Range of Values",7262,7262,NA
"0.0025","Fill Value of Limit of Detection",6,7268,NA
".","Missing",714,7982,NA
