"VTQ280A.Code.or.Value","VTQ280A.Value.Description","VTQ280A.Count","VTQ280A.Cumulative","VTQ280A.Skip.to.Item"
"1","Yes",205,205,NA
"2","No",2913,3118,NA
"7","Refused",0,3118,NA
"9","Don't know",0,3118,NA
".","Missing",297,3415,NA
